"rep_id","scenario","abundance","estimator","row_id","tvb_true","tvb_mean","tvb_bias","tvb_ci_width","tvb_covered","tvb_detected","year_beta_mean","year_var_mean","tri_mean","tri_fires","disc_spearman","disc_auc","disc_rmse","elapsed_sec","status","n_arrays","mean_prop_detect","frac_saturated"
1,"null","bobcat_like","array_occ",1,-0.179515853428882,0.518401102066034,0.697916955494916,4.44072413668635,1,0,0.708846200689383,-0.190445098623349,0.23375,0,0.274857962412282,0.600419181431815,4.59824436044279,2322.51722669601,"OK",97,0.1454,0
2,"null","bobcat_like","array_occ",2,-0.179515853428882,-0.0123188318504026,0.16719702157848,5.1437562380917,1,0,0.418699191966538,-0.43101802381694,0.206625,0,0.602947225544502,0.771022142871005,16.4549052781522,2340.2158062458,"OK",97,0.1618,0.0206
3,"null","bobcat_like","array_occ",3,-0.179515853428882,-1.13406176274646,-0.954545909317581,4.70685862692748,1,0,-0.550113405823668,-0.583948356922795,0.269625,0,0.711672621443767,0.851253662985891,19.5074059432888,2460.67389845848,"OK",97,0.1217,0
4,"null","bobcat_like","array_occ",4,-0.179515853428882,-1.06563141034668,-0.886115556917793,5.84881834130212,1,0,-0.194782833141319,-0.870848577205357,0.20675,0,0.666946496387469,0.835684760038037,18.5576459337218,2357.89237785339,"OK",97,0.1284,0.0103
5,"null","bobcat_like","array_occ",5,-0.179515853428882,0.420156215407871,0.599672068836754,5.33987744945635,1,0,0.310785064810381,0.109371150597491,0.232,0,0.414184502344955,0.726809175415785,2.66443733928038,2571.55451846123,"OK",97,0.1417,0
6,"null","bobcat_like","array_occ",6,-0.179515853428882,-1.16021831694432,-0.980702463515442,5.41636390015504,1,0,-0.569294211573744,-0.59092410537058,0.268,0,0.504056841676377,0.717508587397388,4.19696567061808,2545.28462028503,"OK",97,0.15,0.0206
7,"null","bobcat_like","array_occ",7,-0.179515853428882,-0.489302446819888,-0.309786593391005,4.31015708049529,1,0,-0.173516073193591,-0.315786373626297,0.20525,0,0.733944210734718,0.87466281123251,12.9777945001846,2236.90084385872,"OK",97,0.1421,0
8,"null","bobcat_like","array_occ",8,-0.179515853428882,-0.684123441670104,-0.504607588241222,4.76072730028825,1,0,-0.707564379717434,0.0234409380473295,0.27875,0,0.15011114883958,0.540084224417318,4.42543102727038,2435.33146691322,"OK",97,0.1504,0.0103
9,"null","bobcat_like","array_occ",9,-0.179515853428882,-0.262135465049247,-0.0826196116203647,4.16098660098861,1,0,0.161137769010441,-0.423273234059688,0.208125,0,-0.318493221226401,0.380974790894448,12.8619834474875,2327.96407365799,"OK",97,0.1463,0
10,"null","bobcat_like","array_occ",10,-0.179515853428882,-0.663998373733563,-0.484482520304681,5.2160963392688,1,0,-0.0765528654528761,-0.587445508280687,0.204625,0,0.16876907639377,0.543892759417027,10.4412219430603,2329.45763516426,"OK",97,0.1756,0.0309
11,"null","bobcat_like","array_occ",11,-0.179515853428882,-0.273717874831842,-0.0942020214029597,5.79863830489287,1,0,0.0986776698292718,-0.372395544661114,0.19825,0,0.728505813002799,0.847585825457509,26.3656157423047,2349.25172185898,"OK",97,0.1529,0
12,"null","bobcat_like","array_occ",12,-0.179515853428882,-1.02328436966264,-0.843768516233755,4.49357188277852,1,0,-0.199820551408107,-0.823463818254531,0.180125,0,0.510576119174216,0.716378155989831,11.431344595044,2412.41332912445,"OK",97,0.1596,0.0103
13,"null","bobcat_like","array_occ",13,-0.179515853428882,-0.225187562476573,-0.0456717090476911,6.69953579350494,1,0,-0.163077421872051,-0.0621101406045222,0.22325,0,0.743602896539769,0.861543984940519,53.5778919670476,2404.82487463951,"OK",97,0.1193,0.0206
14,"null","bobcat_like","array_occ",14,-0.179515853428882,-0.700733938879582,-0.521218085450699,5.40095176806764,1,0,-0.0259233593267091,-0.674810579552872,0.187,0,0.200294474415361,0.553178792524598,7.05361289458981,2397.19494915009,"OK",97,0.1586,0.0103
15,"null","bobcat_like","array_occ",15,-0.179515853428882,-0.225707581120064,-0.0461917276911819,3.08151336744519,1,0,0.204105941324726,-0.42981352244479,0.17575,0,0.425172399360885,0.675619554037532,5.30730540051618,2282.21890044212,"OK",97,0.1535,0.0206
16,"null","bobcat_like","array_occ",16,-0.179515853428882,-1.1488778684633,-0.969362015034421,4.5272548719275,1,0,-0.470737127878474,-0.678140740584829,0.272375,0,0.606714355216588,0.786474606532244,15.6612109101223,2452.28660559654,"OK",97,0.1576,0.0206
